"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-09",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-10",,,"0.26",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-11",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-12",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-14",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-15",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-16",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-17",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-18",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-19",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-21",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-22",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-23",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-24",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-25",,,"0.66",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-26",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-27",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-02-28",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-01",,,"0.65",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-02",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-03",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-04",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-05",,,"0.48",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-06",,,"1.46",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-07",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-08",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-09",,,"0.07",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-10",,,"1.92",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-11",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-12",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-13",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-14",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-15",,,"1.45",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-16",,,"0.00",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-17",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-18",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-19",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-21",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-22",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-23",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-27",,,"0.16",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-28",,,"0.19",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-29",,,"0.01",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-30",,,"1.36",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-03-31",,,"0.13",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-01",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-02",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-04",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-05",,,"1.21",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-06",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-12",,,"0.45",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-13",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-14",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-15",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-16",,,"0.41",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-18",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-19",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-21",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-22",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-23",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-24",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-25",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-26",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-27",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-28",,,"0.43",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-29",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-04-30",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-01",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-02",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-03",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-04",,,"0.58",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-06",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-07",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-08",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-09",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-10",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-11",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-12",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-13",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-14",,,"0.90",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-15",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-16",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-17",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-18",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-21",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-22",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-23",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-24",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-25",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-26",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-27",,,"1.04",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-28",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-29",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-30",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-05-31",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-01",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-02",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-03",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-04",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-05",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-06",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-07",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-08",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-09",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-10",,,"0.04",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-11",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-13",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-14",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-15",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-16",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-17",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-18",,,"0.35",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-19",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-21",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-22",,,"0.43",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-23",,,"0.83",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-24",,,"0.05",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-25",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-26",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-27",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-28",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-29",,,"0.19",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-06-30",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-01",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-02",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-03",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-04",,,"0.09",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-05",,,"0.24",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-06",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-07",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-08",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-09",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-10",,,"0.74",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-11",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-12",,,"1.08",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-13",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-14",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-15",,,"0.04",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-16",,,"0.54",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-17",,,"0.18",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-18",,,"0.20",,
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-19",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-20",,,"0.00","0.0",
"US1ALMY0009","MONTGOMERY 4.3 ENE, AL US","2011-07-21",,,"0.53",,
